brand,name,current_price,original_price,discount_percent
I'M FROM,Rice Toner,$25.20,$28.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
Klairs,Freshly Juiced Vitamin Drop,$17.25,$23.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
COSRX,Acne Pimple Master Patch,$6.00,$6.00,
By Wishtrend,Mandelic Acid 5% Skin Prep Water,$18.70,$22.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
Klairs,Rich Moist Soothing Cream,$20.80,$26.00,"<span class=""discount_price mr-0 text-tertiary"">
    20%
  </span>"
By Wishtrend,Green Tea & Enzyme Powder Wash,$18.00,$24.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
WTL,Correcting Post Pigmentation Clearing Box,$97.50,$130.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
I'M FROM,Honey Mask,$34.20,$38.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
Klairs,Gentle Black Deep Cleansing Oil,$19.55,$23.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
Klairs,Freshly Juiced Vitamin E Mask,$20.25,$27.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
Klairs,All-day Airy Sunscreen,$15.75,$21.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
Klairs,Midnight Blue Youth Activating Drop,$22.50,$30.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
Klairs,Midnight Blue Calming Cream,$18.75,$25.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
Klairs,Midnight Blue Calming Sheet Mask,$2.70,$3.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
Klairs,Supple Preparation Facial Toner,$17.60,$22.00,"<span class=""discount_price mr-0 text-tertiary"">
    20%
  </span>"
Klairs,Toner Mate 2 in 1 Cotton pad,$5.85,$6.50,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
Klairs,Rich Moist Foaming Cleanser,$15.30,$18.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
COSRX,Low pH Good Morning Gel Cleanser,$14.00,$0.00,
Klairs,Supple Preparation Unscented Toner,$16.50,$22.00,"<span class=""discount_price mr-0 text-tertiary"">
    25%
  </span>"
Klairs,Rich Moist Soothing Tencel Sheet Mask,$2.70,$3.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
COSRX,Aloe Soothing Sun Cream SPF50+ PA+++,$16.00,$0.00,
By Wishtrend,Pure Vitamin C 21.5% Advanced Serum,$25.50,$30.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
COSRX,Advanced Snail Mucin 96 Power Essence,$25.00,$0.00,
By Wishtrend,Propolis Energy Calming Ampoule (TMI Box),$29.75,$35.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
ROVECTIN,Lotus Water Cream,$18.00,$20.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
I'M FROM,Vitamin Tree Water Gel,$25.20,$28.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
BRAND PACKAGE,Rich Moist Package,$46.90,$67.00,"<span class=""discount_price mr-0 text-tertiary"">
    30%
  </span>"
Klairs,Supple Preparation All over Lotion,$22.10,$26.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
GIFTS & SETS,Freshly Juiced Vitamin Set,$50.00,$100.00,"<span class=""discount_price mr-0 text-tertiary"">
    50%
  </span>"
I'M FROM,Mugwort Essence,$36.00,$40.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
By Wishtrend,Vitamin A-mazing Bakuchiol Night Cream (TMI Box),$30.60,$36.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
GIFTS & SETS,Sheet Mask Bundles,$27.20,$34.00,"<span class=""discount_price mr-0 text-tertiary"">
    20%
  </span>"
COSRX,Advanced Snail 92 All in One Cream,$26.00,$0.00,
By Wishtrend,UV Defense Moist Cream,$22.40,$28.00,"<span class=""discount_price mr-0 text-tertiary"">
    20%
  </span>"
By Wishtrend,Clear Skin Shield Patch,$9.00,$10.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
Klairs,Gentle Black Fresh Cleansing Oil,$20.40,$24.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
STARTER PACKAGE,Klairs Starter Package,$88.08,$135.50,"<span class=""discount_price mr-0 text-tertiary"">
    35%
  </span>"
By Wishtrend,Cera-barrier Soothing Ampoule,$23.80,$28.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
STARTER PACKAGE,Cosrx Starter Package,$56.70,$81.00,"<span class=""discount_price mr-0 text-tertiary"">
    30%
  </span>"
I'M FROM,Fig Scrub Mask,$28.80,$32.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
Klairs,Freshly Juiced Vitamin Charging Serum,$29.75,$35.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
By Wishtrend,Vitamin A-mazing Bakuchiol Night Cream,$26.40,$33.00,"<span class=""discount_price mr-0 text-tertiary"">
    20%
  </span>"
STARTER PACKAGE,I'm From Starter Package (Renewal),$81.90,$117.00,"<span class=""discount_price mr-0 text-tertiary"">
    30%
  </span>"
elmt,PURE VITAMIN C 20% ELEMENT,$40.50,$45.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
STARTER PACKAGE,By Wishtrend Starter Package,$95.20,$136.00,"<span class=""discount_price mr-0 text-tertiary"">
    30%
  </span>"
COSRX,Advanced Snail Peptide Eye Cream,$28.00,$0.00,
By Wishtrend,Green Tea & Enzyme Cleanser Duo (TMI Box),$41.65,$49.00,"<span class=""discount_price mr-0 text-tertiary"">
    15%
  </span>"
I'M FROM,Hug Mask,$31.50,$35.00,"<span class=""discount_price mr-0 text-tertiary"">
    10%
  </span>"
